a,b,c,alpha,phi1,PHI,phi2,GrainID
0.15751,0.15751,0.15751,90.162,186.46,126.9,100.96,958
0.15782,0.11486,0.15782,90,291.73,75.255,324.18,959
0.11776,0.10209,0.11776,60,48.289,85.885,101.44,960
0.11776,0.10209,0.11776,60,218.48,43.841,45.697,961
0.15558,0.096246,0.15558,41.564,335.13,61.161,208.68,962
0.15558,0.096246,0.15558,41.564,149.67,126.16,72.594,963
0.080789,0.080789,0.080789,0.050674,224.89,76.619,139.68,964
0.14835,0.12472,0.14835,30,33.976,111.37,249.41,965
0.15782,0.11486,0.15782,90,40.609,21.845,98.671,966
0.16068,0.13477,0.16068,6.4064e-11,338.07,15.938,161.89,967
0.14835,0.12472,0.14835,90,164.26,121.72,286.5,968
0.080789,0.080789,0.080789,137.56,85.386,132.72,239.22,969
0.15558,0.096246,0.15558,18.436,104.88,152.99,138.98,970
0.13768,0.10935,0.13768,120,13.279,62.658,172.81,971
0.15751,0.15751,0.15751,95.422,310.88,87.52,145.25,972
0.15782,0.11486,0.15782,30,327.32,122.32,283.58,973
0.15782,0.11486,0.15782,30,353.76,86.508,182.55,974
0.16068,0.13477,0.16068,60,291.13,76.126,324.85,975
0.15751,0.15751,0.15751,90.996,48.415,146.4,127.47,976
0.15751,0.15751,0.15751,89.603,217.17,44.242,42.435,977
0.11776,0.10209,0.11776,60,334.02,102.38,215.99,978
0.14013,0.084933,0.14013,180,84.364,41.35,3.9916,979
0.29533,0.23864,0.29533,83.21,308.52,109.9,163.89,980
0.14013,0.084933,0.14013,180,258.62,27.107,223.57,981
0.13768,0.10935,0.13768,180,310.21,159.97,295.16,982
0.15558,0.096246,0.15558,138.44,1.6591,69.656,191.5,983
0.16068,0.13477,0.16068,5.8668e-11,274.74,28.267,185.02,984
0.15782,0.11486,0.15782,90,335.52,49.954,114.49,985
0.15558,0.096246,0.15558,78.436,141.45,109.69,76.565,986
0.15782,0.11486,0.15782,90,149.12,37.675,20.226,987
2.2618,1.0152,2.2618,140.56,258.23,26.61,79.539,988
0.14013,0.084933,0.14013,120,4.7026,163,128.42,989
0.15782,0.11486,0.15782,90,274.83,16.446,81.893,990
0.30643,0.12774,0.30643,5.1691,124.09,54.358,291.83,991
0.14656,0.10541,0.14656,180,35.658,91.52,161.47,992
0.15558,0.096246,0.15558,101.56,355.48,133.74,162.78,993
0.16068,0.13477,0.16068,120,335.3,116.29,165.63,994
0.16068,0.13477,0.16068,60,157.14,67.355,285.51,995
0.16422,0.11267,0.16422,60,172.77,96.978,66.294,996
0.30744,0.14854,0.30744,66.165,138.22,136.64,62.001,997
0.13768,0.10935,0.13768,120,358.7,151.56,196.4,998
0.15782,0.11486,0.15782,90,146.74,128.19,69.93,999
2.3889,0.87006,2.3889,60.943,287.79,38.623,150.36,1000
0.11776,0.10209,0.11776,3.2111e-09,326.04,111.09,185.99,1001
0.14835,0.12472,0.14835,150,201.12,91.252,113.79,1002
0.14013,0.084933,0.14013,120,153.15,116.05,78.347,1003
0.15782,0.11486,0.15782,90,291.38,95.411,217.76,1004
0.13768,0.10935,0.13768,180,276.08,139.06,248.29,1005
0.11776,0.10209,0.11776,180,305.14,130.21,23.682,1006
0.15782,0.11486,0.15782,150,3.1923,161.65,83.834,1007
0.16068,0.13477,0.16068,60,207.91,153.3,279.66,1008
1.8868,0.91873,1.8868,84.912,97.226,118.87,83.017,1009
0.16501,0.069365,0.16501,90,259.49,79.373,355.05,1010
0.30016,0.11796,0.30016,108.81,349.58,94.603,168.87,1011
0.15782,0.11486,0.15782,90,242.68,41.886,15.513,1012
5.1605,1.5988,5.1605,80.198,17.998,107.99,243.57,1013
0.080789,0.080789,0.080789,90.061,308.49,140.69,23.038,1014
0.15558,0.096246,0.15558,78.436,160.95,136.73,100.82,1015
0.2265,0.12744,0.2265,120,6.9249,71.904,99.084,1016
0.080789,0.080789,0.080789,89.89,5.86,70.634,98.876,1017
0.15782,0.11486,0.15782,90,355.87,119.58,4.1211,1018
0.30018,0.12897,0.30018,106.01,325.84,109.81,276.66,1019
0.74904,0.19445,0.74904,63.933,79.603,41.953,188.42,1020
0.15558,0.096246,0.15558,78.436,76.676,166.79,291.48,1021
0.27571,0.16717,0.27571,2.8116,0.80434,43.37,147.62,1022
0.16068,0.13477,0.16068,120,212.39,114.02,99.441,1023
0.30272,0.16391,0.30272,61.96,69.099,34.936,106.31,1024
0.30305,0.14028,0.30305,63.547,197.36,84.725,136.63,1025
0.15782,0.11486,0.15782,150,83.116,61.362,81.083,1026
0.11776,0.10209,0.11776,7.2257e-11,354.96,132.47,163.01,1027
6.1463,3.6835,6.1463,78.691,229.57,89.175,131.57,1028
0.11776,0.10209,0.11776,60,204.14,60.513,189.85,1029
0.080789,0.080789,0.080789,90,274.91,145.03,235.74,1030
0.11776,0.10209,0.11776,180,109.57,60.141,83.726,1031
0.13768,0.10935,0.13768,180,152.24,124.64,73.888,1032
0.15558,0.096246,0.15558,78.436,169.94,54.99,119.07,1033
0.13768,0.10935,0.13768,60,14.824,114.74,145.31,1034
0.13768,0.10935,0.13768,2.2474e-09,217.99,51.927,165.35,1035
0.14835,0.12472,0.14835,90,77.569,168.69,192.58,1036
0.15558,0.096246,0.15558,78.436,212.19,49.301,308.73,1037
0.15782,0.11486,0.15782,90,245.01,69.467,342.2,1038
0.15558,0.096246,0.15558,78.436,299.24,101.95,302.77,1039
0.11776,0.10209,0.11776,180,58.897,135.57,209.9,1040
0.16501,0.069365,0.16501,30,84.937,31.606,8.7397,1041
0.13768,0.10935,0.13768,120,281.88,144.33,60.012,1042
0.15782,0.11486,0.15782,150,276.6,38.699,328.77,1043
0.080789,0.080789,0.080789,56.363,13.834,59.349,185.37,1044
0.42024,0.24464,0.42024,14.795,88.673,41.974,358.37,1045
0.14835,0.12472,0.14835,90,131.69,76.693,100.2,1046
1.1938,0.49961,1.1938,76.671,110.44,100.93,100.25,1047
0.15558,0.096246,0.15558,101.56,347.77,107.76,171.33,1048
0.16422,0.11267,0.16422,60,153.49,125.12,130.13,1049
0.15558,0.096246,0.15558,78.436,160.68,38.65,241.51,1050
0.4564,0.16261,0.4564,58.354,307.73,109.51,164.06,1051
0.14835,0.12472,0.14835,90,313.86,155.18,142.44,1052
0.16501,0.069365,0.16501,150,259.12,132.74,179.77,1053
0.080789,0.080789,0.080789,11.165,201.53,114.27,85.36,1054
0.16068,0.13477,0.16068,180,15.358,60.346,93.246,1055
0.14835,0.12472,0.14835,150,44.109,45.317,89.801,1056
0.11776,0.10209,0.11776,120,243.03,46.54,63.811,1057
0.25157,0.1431,0.25157,55.841,157.78,70.333,313.22,1058
0.15782,0.11486,0.15782,90,110.61,57.339,276.41,1059
0.13768,0.10935,0.13768,60,160.53,52.395,334.34,1060
0.15558,0.096246,0.15558,41.564,80.883,31.598,320.44,1061
0.15558,0.096246,0.15558,138.44,343.59,31.613,85.452,1062
0.15558,0.096246,0.15558,101.56,310.6,76.272,197.71,1063
0.30133,0.14302,0.30133,118.56,4.8178,74.063,93.307,1064
0.13768,0.10935,0.13768,60,336.03,26.593,170.95,1065
0.13768,0.10935,0.13768,120,272.22,115.2,145.27,1066
0.15782,0.11486,0.15782,90,340.79,146.11,91.809,1067
0.30821,0.16878,0.30821,7.8796,307.58,121.54,0.49554,1068
0.11776,0.10209,0.11776,60,349.49,142.25,76.468,1069
0.14835,0.12472,0.14835,90,296,142.26,263.66,1070
0.15782,0.11486,0.15782,30,103.63,100.75,53.377,1071
0.15558,0.096246,0.15558,101.56,200.71,43.035,58.67,1072
0.16068,0.13477,0.16068,60,186.87,89.343,102.38,1073
0.13768,0.10935,0.13768,120,204.21,85.039,143.91,1074
0.30643,0.12774,0.30643,54.831,355.85,119.21,3.9814,1075
0.30016,0.11796,0.30016,108.81,7.75,116.18,127.52,1076
0.16501,0.069365,0.16501,30,181.13,131.73,68.127,1077
0.080789,0.080789,0.080789,90.068,170.22,91.948,316.8,1078
0.11776,0.10209,0.11776,180,196.6,60.918,104.35,1079
0.13768,0.10935,0.13768,120,78.633,34.335,176.98,1080
0.15782,0.11486,0.15782,90,160.49,114.07,262.29,1081
0.15782,0.11486,0.15782,90,46.232,130.78,342.23,1082
0.15751,0.15751,0.15751,180,159.27,48.581,291.33,1083
0.15751,0.15751,0.15751,2.7328,317.94,156.98,185.19,1084
0.15751,0.15751,0.15751,171.15,72.867,45.684,252.34,1085
0.16068,0.13477,0.16068,60,153.35,93.01,88.206,1086
0.15751,0.15751,0.15751,2.6719,218.54,140.95,285.28,1087
0.13768,0.10935,0.13768,60,11.602,117.93,200.78,1088
0.13768,0.10935,0.13768,180,105.36,116.49,53.704,1089
0.15782,0.11486,0.15782,90,308.66,141.49,27.061,1090
0.15751,0.15751,0.15751,80.538,2.903,129.66,197.16,1091
0.26036,0.17703,0.26036,52.012,313.46,86.876,209.59,1092
0.11776,0.10209,0.11776,180,255.03,43.797,7.0197,1093
0.14013,0.084933,0.14013,60,6.4433,99.35,183.98,1094
0.16501,0.069365,0.16501,90,11.175,143.68,204.77,1095
0.15558,0.096246,0.15558,41.564,80.21,75.366,57.342,1096
0.15782,0.11486,0.15782,30,183.52,126.78,284.18,1097
0.15782,0.11486,0.15782,90,256.79,69.552,134.16,1098
0.16068,0.13477,0.16068,7.2462e-11,326.69,115.93,176.42,1099
0.15782,0.11486,0.15782,90,126.42,45.373,266.88,1100
0.13768,0.10935,0.13768,60,142.86,51.801,42.142,1101
0.16068,0.13477,0.16068,120,143.5,141.43,244.46,1102
0.16068,0.13477,0.16068,60,329.29,42.343,203.38,1103
0.15751,0.15751,0.15751,90.157,274.81,177.39,215.6,1104
0.15751,0.15751,0.15751,0.20366,8.4423,164.63,255.08,1105
0.15751,0.15751,0.15751,0,150.88,141.38,64.702,1106
0.15751,0.15751,0.15751,180,40.68,38.599,160.87,1107
0.15751,0.15751,0.15751,0.095914,310.78,103.89,331.27,1108
0.15751,0.15751,0.15751,179.95,157.54,121.75,90.107,1109
0.15751,0.15751,0.15751,90,65.047,58.722,196.92,1110
0.15751,0.15751,0.15751,90.225,40.94,128.85,40.99,1111
0.16068,0.13477,0.16068,60,302.63,133.87,222.57,1112
0.15782,0.11486,0.15782,90,350.62,142.97,78.855,1113
0.15558,0.096246,0.15558,41.564,49.252,47.606,116.7,1114
0.14013,0.084933,0.14013,180,154.89,51.415,243.79,1115
0.11776,0.10209,0.11776,180,237.71,76.062,120.67,1116
0.14013,0.084933,0.14013,60,250.64,54.879,140.38,1117
0.25859,0.13789,0.25859,178.57,300.76,117.7,332.94,1118
0.080789,0.080789,0.080789,180,357.57,23.196,86.234,1119
0.080789,0.080789,0.080789,90,138.57,39.656,82.223,1120
0.15782,0.11486,0.15782,30,246.97,83.78,124.87,1121
0.080789,0.080789,0.080789,90,160.72,49.835,334.89,1122
0.15558,0.096246,0.15558,101.56,7.4969,117.97,128.53,1123
0.14013,0.084933,0.14013,120,7.7479,118.11,128.05,1124
1.0402,0.43387,1.0402,67.123,127.91,51.264,132,1125
0.14013,0.084933,0.14013,60,357.62,7.7265,75.393,1126
0.16501,0.069365,0.16501,30,328.59,19.466,184.39,1127
0.26092,0.14875,0.26092,4.655,121.15,136.11,86.688,1128
0.13768,0.10935,0.13768,120,85.984,95.55,251.63,1129
0.080789,0.080789,0.080789,0,329.73,43.804,217.76,1130
0.080789,0.080789,0.080789,34.391,41.41,86.196,251.43,1131
0.11776,0.10209,0.11776,60,55.242,72.419,81.89,1132
0.15751,0.15751,0.15751,90.141,314.62,104.85,215.2,1133
0.15751,0.15751,0.15751,0.20366,176.44,59.83,181.82,1134
0.15751,0.15751,0.15751,2.9896e-07,240.29,123.74,313.65,1135
0.15751,0.15751,0.15751,179.54,173.09,96.261,120.03,1136
0.15751,0.15751,0.15751,0.067566,143.44,55.358,350.42,1137
0.15751,0.15751,0.15751,90.068,94.28,40.543,340.58,1138
0.15751,0.15751,0.15751,0.30476,311.58,146.03,248.35,1139
0.15751,0.15751,0.15751,89.846,302.31,35.98,200.92,1140
0.15751,0.15751,0.15751,90.068,228.98,143.01,284.81,1141
0.14835,0.12472,0.14835,90,337.15,128.06,160.14,1142
0.15558,0.096246,0.15558,101.56,54.265,134.52,187.89,1143
0.14013,0.084933,0.14013,60,140.07,145.71,107.51,1144
2.3175,1.305,2.3175,5.3243,54.097,71.54,174.85,1145
0.11776,0.10209,0.11776,60,5.3793,72.53,101,1146
0.15782,0.11486,0.15782,150,206.15,86.499,268.22,1147
0.080789,0.080789,0.080789,90,197.96,134.69,145.3,1148
0.13768,0.10935,0.13768,180,145.57,99.058,85.305,1149
0.11776,0.10209,0.11776,60,180.2,102.19,101.4,1150
0.15782,0.11486,0.15782,90,306.85,90.339,209.52,1151
0.15751,0.15751,0.15751,89.932,255.56,34.639,255.6,1152
0.15751,0.15751,0.15751,90.088,69.376,117.53,45.94,1153
0.15751,0.15751,0.15751,1.5093e-07,251.25,31.156,141.88,1154
0.16068,0.13477,0.16068,60,338.53,121.24,47.633,1155
0.15751,0.15751,0.15751,0,279.49,111.24,346.87,1156
0.15751,0.15751,0.15751,180,169.08,147.7,281.76,1157
0.15751,0.15751,0.15751,89.932,79.886,9.4362,117.72,1158
0.31997,0.17479,0.31997,120,338.98,147.56,224.61,1159
0.14835,0.12472,0.14835,150,136.69,165.22,289.69,1160
0.14835,0.12472,0.14835,90,79.796,55.771,205.71,1161
0.15782,0.11486,0.15782,30,132.14,68.225,305.75,1162
0.16501,0.069365,0.16501,30,263.73,147.6,223.93,1163
0.11776,0.10209,0.11776,2.8744e-09,310.38,104.41,168.47,1164
0.16422,0.11267,0.16422,0,344.11,9.0741,147.93,1165
0.11776,0.10209,0.11776,60,183.73,129.37,294.14,1166
0.31795,0.15606,0.31795,120,227.2,148.64,296.21,1167
0.14013,0.084933,0.14013,1.183e-09,83.437,66.024,116.7,1168
0.15782,0.11486,0.15782,150,200.04,74.75,28.328,1169
0.15751,0.15751,0.15751,89.9,96.263,140.64,258.16,1170
0.15751,0.15751,0.15751,180,144.81,102.67,246.7,1171
0.16068,0.13477,0.16068,180,274.34,102.44,113.95,1172
0.28964,0.28964,0.28964,102.36,194.65,134.25,103.47,1173
0.16068,0.13477,0.16068,120,76.254,96.335,222.7,1174
0.15751,0.15751,0.15751,90.156,46.355,48.041,89.347,1175
0.16068,0.13477,0.16068,120,166.96,43.265,280.93,1176
0.15751,0.15751,0.15751,90.026,253.28,97.245,222.01,1177
0.16068,0.13477,0.16068,60,34.662,55.375,63.543,1178
0.61296,0.48577,0.61296,88.634,61.18,72.839,48.936,1179
0.13768,0.10935,0.13768,60,35.026,99.69,124.31,1180
0.11776,0.10209,0.11776,120,160.52,49.726,335.04,1181
0.30016,0.11796,0.30016,71.187,355.62,118.76,182.71,1182
0.16501,0.069365,0.16501,90,8.1994,116.16,128.58,1183
0.13768,0.10935,0.13768,120,16.62,59.416,171.69,1184
0.16501,0.069365,0.16501,90,288.33,118.01,147.07,1185
0.16068,0.13477,0.16068,5.7333e-11,10.434,55.092,87.15,1186
0.13768,0.10935,0.13768,60,256.34,81.243,226.58,1187
0.15751,0.15751,0.15751,0.10934,161.08,70.652,65.296,1188
0.15751,0.15751,0.15751,90.147,128.46,42.484,72.548,1189
0.15751,0.15751,0.15751,162.97,315.78,104.19,214.76,1190
0.15751,0.15751,0.15751,0,209.14,68.743,142.79,1191
0.16068,0.13477,0.16068,120,343.51,156.01,34.591,1192
0.31997,0.17479,0.31997,120,157.85,67.577,335.32,1193
0.16422,0.11267,0.16422,60,292.89,98.865,328.32,1194
0.14835,0.12472,0.14835,30,354.74,137.47,177.15,1195
0.25157,0.1431,0.25157,175.84,260.27,129.65,331.88,1196
0.26169,0.22732,0.26169,150.14,134.68,92.715,240.73,1197
0.080789,0.080789,0.080789,89.952,306.67,18.255,117.81,1198
0.080789,0.080789,0.080789,90,101.71,81.824,251.59,1199
0.11776,0.10209,0.11776,120,129.41,51.184,292.61,1200
0.080789,0.080789,0.080789,0,310.46,113.28,225.21,1201
0.30354,0.13986,0.30354,172.61,8.1601,116.17,128.74,1202
0.16501,0.069365,0.16501,90,188.16,66.628,322.34,1203
3.5222,1.5619,3.5222,119.06,261.23,122.74,211.29,1204
0.15558,0.096246,0.15558,101.56,227.49,26.67,53.64,1205
0.14835,0.12472,0.14835,150,301.49,170.62,224.01,1206
0.16422,0.11267,0.16422,180,321.5,113.78,220.56,1207
0.16068,0.13477,0.16068,60,167.64,32.054,342.92,1208
0.15751,0.15751,0.15751,147.5,157.84,66.725,172.85,1209
0.15751,0.15751,0.15751,90,140.21,103.57,239.03,1210
0.15751,0.15751,0.15751,179.86,285.29,95.64,301.91,1211
0.15751,0.15751,0.15751,0,51.568,129.65,74.508,1212
0.16068,0.13477,0.16068,120,15.316,161.74,231.79,1213
0.13768,0.10935,0.13768,120,239.21,56.402,86.349,1214
0.61683,0.21647,0.61683,74.938,53.272,136.15,99.718,1215
0.16501,0.069365,0.16501,30,250.35,54.956,140.74,1216
0.11776,0.10209,0.11776,60,267.83,90.343,167.77,1217
0.11776,0.10209,0.11776,120,356.33,119.6,3.0738,1218
0.13768,0.10935,0.13768,2.5969e-09,221.5,87.334,101.14,1219
0.26092,0.14875,0.26092,175.34,183.81,127.57,293.95,1220
0.16501,0.069365,0.16501,90,280.1,119.31,339.24,1221
0.16501,0.069365,0.16501,150,217.41,162.29,139.31,1222
0.16068,0.13477,0.16068,60,113.21,62.493,314.99,1223
0.16068,0.13477,0.16068,120,193.53,70.719,130.35,1224
0.15751,0.15751,0.15751,5.8928e-08,100.38,61.523,62.295,1225
0.13768,0.10935,0.13768,120,249.89,172.1,323.44,1226
0.080789,0.080789,0.080789,90,141.71,67.481,108.22,1227
0.14013,0.084933,0.14013,60,196.01,143.86,147.93,1228
0.080789,0.080789,0.080789,69.444,46.894,60.381,242.83,1229
0.11776,0.10209,0.11776,120,249.51,54.323,141.01,1230
0.11776,0.10209,0.11776,60,14.431,124.63,167.19,1231
0.080789,0.080789,0.080789,89.552,125.12,142.65,276.19,1232
0.11776,0.10209,0.11776,2.8709e-09,197.58,127.76,282.14,1233
0.15558,0.096246,0.15558,18.436,197.33,135.64,143.84,1234
0.15558,0.096246,0.15558,138.44,26.97,45.141,182.13,1235
0.41044,0.23218,0.41044,53.305,331.04,43.648,129.01,1236
0.15558,0.096246,0.15558,101.56,184.45,68.887,321.96,1237
2.1475,2.0891,2.1475,63.017,335.58,41.566,136.72,1238
0.15782,0.11486,0.15782,30,197.58,82.051,304.38,1239
0.14013,0.084933,0.14013,60,210.82,67.984,28.105,1240
0.15782,0.11486,0.15782,90,198.6,136.19,145.16,1241
0.16501,0.069365,0.16501,90,296.03,79.925,279.37,1242
0.16501,0.069365,0.16501,90,25.229,82.098,78.991,1243
0.14013,0.084933,0.14013,120,276.55,88.836,330.34,1244
0.080789,0.080789,0.080789,89.851,34.347,101.44,126.03,1245
0.080789,0.080789,0.080789,90.227,319.62,37.953,250.86,1246
0.15558,0.096246,0.15558,101.56,79.741,20.159,46.152,1247
0.30643,0.12774,0.30643,125.17,7.8154,113.31,126.66,1248
0.15558,0.096246,0.15558,78.436,7.9158,115.46,126.45,1249
0.15558,0.096246,0.15558,78.436,296.71,80.278,278.77,1250
0.16501,0.069365,0.16501,30,178.1,75.792,318.54,1251
0.15558,0.096246,0.15558,41.564,104.74,104.18,50.912,1252
0.080789,0.080789,0.080789,90,50.146,69.478,249.5,1253
0.13768,0.10935,0.13768,60,177.74,47.764,113.8,1254
0.11776,0.10209,0.11776,120,36.292,98.937,99.663,1255
0.4738,0.2626,0.4738,31.494,8.2566,114.87,128.46,1256
0.080789,0.080789,0.080789,0,8.1644,115.18,127.81,1257
0.14013,0.084933,0.14013,120,141.25,72.581,95.957,1258
0.14013,0.084933,0.14013,120,37.028,159.63,66.4,1259
0.11776,0.10209,0.11776,120,140.31,66.161,289.75,1260
0.28548,0.17381,0.28548,60,164.01,74.053,299.46,1261
0.13768,0.10935,0.13768,180,185.88,116.81,92.554,1262
0.13768,0.10935,0.13768,120,140.33,49.984,347.59,1263
0.22084,0.16196,0.22084,120,149.2,128.9,252.72,1264
0.13768,0.10935,0.13768,120,35.033,118.04,212.43,1265
0.11776,0.10209,0.11776,60,179.85,38.164,168.58,1266
0.080789,0.080789,0.080789,90,174.01,146.97,284.12,1267
0.11776,0.10209,0.11776,60,159.66,51.199,337.72,1268
0.16422,0.11267,0.16422,60,315.93,87.799,197.61,1269
0.1256,0.071478,0.1256,30,220.59,42.889,41.077,1270
0.1256,0.071478,0.1256,90,354.23,114.04,179.05,1271
0.080789,0.080789,0.080789,90,110.43,72.199,59.919,1272
0.13768,0.10935,0.13768,60,209.15,132.14,293.1,1273
0.15782,0.11486,0.15782,90,358.68,138.42,94.851,1274
10.136,4.4596,10.136,108,240.28,56.993,130.34,1275
0.16068,0.13477,0.16068,120,87.811,22.011,23.988,1276
0.15558,0.096246,0.15558,138.44,8.6411,114.04,127.74,1277
0.16501,0.069365,0.16501,30,56.402,68.956,183.16,1278
0.080789,0.080789,0.080789,2.2714e-07,64.912,65.021,79.245,1279
0.080789,0.080789,0.080789,179.65,8.9952,81.672,73.331,1280
0.14835,0.12472,0.14835,30,288.43,49.357,165.72,1281
0.13768,0.10935,0.13768,4.9531e-10,215.86,47.499,246.47,1282
0.11776,0.10209,0.11776,60,258.99,145.59,341.68,1283
0.14835,0.12472,0.14835,150,75.988,65.159,245.5,1284
0.11776,0.10209,0.11776,1.0719e-08,26.87,41.316,213.54,1285
0.30354,0.13986,0.30354,67.393,200.27,65.153,320.06,1286
0.16068,0.13477,0.16068,60,349.31,39.41,134.87,1287
0.16501,0.069365,0.16501,90,167.25,38.835,231.09,1288
0.16068,0.13477,0.16068,180,232.34,147.07,154.03,1289
0.14013,0.084933,0.14013,120,34.558,152.14,171,1290
0.080789,0.080789,0.080789,90,205.33,32.721,205.91,1291
0.15558,0.096246,0.15558,18.436,344.95,136.83,142.73,1292
0.16422,0.11267,0.16422,5.3589e-15,83.105,165.18,78.691,1293
0.080789,0.080789,0.080789,2.5128e-07,289.26,130.58,232.12,1294
0.11776,0.10209,0.11776,60,195.3,68.573,322.91,1295
0.11776,0.10209,0.11776,120,57.195,67.126,91.677,1296
6.2061,3.4997,6.2061,99.237,103.79,28.564,86.619,1297
0.55027,0.23207,0.55027,5.473,140.68,67.233,109.55,1298
0.16068,0.13477,0.16068,4.7529e-12,318.92,36.123,252.06,1299
0.080789,0.080789,0.080789,158.44,174.47,147.09,284.41,1300
0.13768,0.10935,0.13768,60,324.85,159.29,59.086,1301
0.11776,0.10209,0.11776,180,352.6,116.05,178.56,1302
0.11776,0.10209,0.11776,120,86.371,87.68,79.019,1303
0.16068,0.13477,0.16068,60,326.52,46.096,112.46,1304
0.14013,0.084933,0.14013,180,277.3,89.272,329.3,1305
0.14013,0.084933,0.14013,60,353.18,40.727,213.7,1306
0.11776,0.10209,0.11776,5.0722e-11,300.94,101.95,278.56,1307
0.79644,0.35906,0.79644,68.747,249.74,95.298,223.03,1308
0.080789,0.080789,0.080789,68.283,171.54,90.595,312.94,1309
0.16501,0.069365,0.16501,90,193.97,37.326,151.52,1310
6.3272,1.789,6.3272,100.79,230.78,130.1,149.69,1311
0.080789,0.080789,0.080789,2.1344e-07,159.95,112.04,265.89,1312
0.13768,0.10935,0.13768,180,232.62,149.13,153.38,1313
0.16501,0.069365,0.16501,90,8.691,115.69,216.42,1314
0.16501,0.069365,0.16501,90,8.4933,115.2,216.48,1315
0.16501,0.069365,0.16501,90,8.1243,115.77,216.43,1316
0.16501,0.069365,0.16501,30,212.62,42.618,64.829,1317
0.14013,0.084933,0.14013,120,231.96,53.43,165.04,1318
0.16501,0.069365,0.16501,90,289.32,111.06,235.43,1319
0.16501,0.069365,0.16501,90,34.151,122.38,115.53,1320
0.15558,0.096246,0.15558,78.436,354.45,40.278,212.58,1321
0.16422,0.11267,0.16422,60,136.63,107.92,241.19,1322
0.080789,0.080789,0.080789,90.028,15.967,120.67,120.08,1323
0.13768,0.10935,0.13768,180,319.42,36.646,252.54,1324
0.080789,0.080789,0.080789,90,16.545,129.59,165.07,1325
0.15782,0.11486,0.15782,90,88.634,97.287,258.11,1326
0.15558,0.096246,0.15558,41.564,356.17,115.51,180.21,1327
0.15782,0.11486,0.15782,30,320.84,46.391,233.38,1328
0.080789,0.080789,0.080789,32.351,208.95,134.17,140.38,1329
0.080789,0.080789,0.080789,90,350.6,156.45,280.49,1330
0.15558,0.096246,0.15558,78.436,290.46,111.73,234.81,1331
0.15782,0.11486,0.15782,150,27.248,28.743,97.121,1332
0.14013,0.084933,0.14013,60,283.72,137.97,175.91,1333
0.15558,0.096246,0.15558,101.56,9.7275,116.7,179.46,1334
0.16068,0.13477,0.16068,60,132.99,74.93,65.66,1335
0.15782,0.11486,0.15782,90,309.97,139.04,49.483,1336
0.15782,0.11486,0.15782,90,132.26,82.196,230.04,1337
0.16422,0.11267,0.16422,60,239.41,107.77,118.73,1338
0.16422,0.11267,0.16422,60,236.55,86.574,322.23,1339
0.13768,0.10935,0.13768,7.7137e-10,210.28,56.251,27.549,1340
0.15558,0.096246,0.15558,78.436,167.49,21.249,265.37,1341
0.26092,0.14875,0.26092,64.655,87.998,40.148,3.7943,1342
0.11776,0.10209,0.11776,120,264.76,14.82,279.67,1343
0.11776,0.10209,0.11776,60,246.97,56.618,58.473,1344
0.080789,0.080789,0.080789,90.895,288.51,131.76,227.85,1345
0.11776,0.10209,0.11776,60,288.11,118.59,90.035,1346
0.16068,0.13477,0.16068,60,26.965,103.22,192.58,1347
0.11776,0.10209,0.11776,120,212.87,43.581,63.649,1348
0.14013,0.084933,0.14013,60,73.994,35.554,223.52,1349
0.14835,0.12472,0.14835,90,209.58,33.868,200.86,1350
0.15782,0.11486,0.15782,30,143.68,63.836,96.221,1351
0.16501,0.069365,0.16501,30,112.14,70.019,303.6,1352
0.13768,0.10935,0.13768,120,197.02,87.917,312.19,1353
0.080789,0.080789,0.080789,180,148.21,106.68,304.51,1354
0.15558,0.096246,0.15558,41.564,304.21,80.639,284.31,1355
2.2097,1.3676,2.2097,3.5888,6.8299,36.754,105.47,1356
0.11776,0.10209,0.11776,60,348.14,113.75,170.84,1357
0.11776,0.10209,0.11776,60,249.73,94.32,313.92,1358
0.15558,0.096246,0.15558,101.56,18.371,127.69,165.79,1359
0.080789,0.080789,0.080789,90.895,243.16,54.46,150.09,1360
0.080789,0.080789,0.080789,179.88,84.046,98.011,48.961,1361
0.30192,0.13919,0.30192,137.13,151.18,125.13,74.795,1362
0.16068,0.13477,0.16068,60,244.15,156.09,185.35,1363
0.15782,0.11486,0.15782,30,330.02,50.873,107.14,1364
0.080789,0.080789,0.080789,156.05,46.034,70.183,57.847,1365
0.16068,0.13477,0.16068,60,282.29,101.8,329.06,1366
0.15558,0.096246,0.15558,161.56,188.93,66.096,64.176,1367
0.13768,0.10935,0.13768,60,182.45,41.147,270.2,1368
0.15558,0.096246,0.15558,101.56,90.876,171.03,9.4084,1369
0.88981,0.24487,0.88981,81.443,213.69,78.4,279.27,1370
0.15782,0.11486,0.15782,90,337.73,65.108,81.933,1371
0.15782,0.11486,0.15782,90,185.44,108.22,112.39,1372
0.16873,0.14351,0.16873,56.94,330.4,36.349,214.86,1373
0.080789,0.080789,0.080789,90,159.83,106.37,151.87,1374
0.16068,0.13477,0.16068,60,165.29,43.619,128.56,1375
0.26092,0.14875,0.26092,115.34,249.76,93.828,133.92,1376
0.080789,0.080789,0.080789,180,249.67,93.656,314.58,1377
0.14013,0.084933,0.14013,120,205.53,52.349,158.73,1378
0.11776,0.10209,0.11776,60,52.47,99.788,28.652,1379
0.16422,0.11267,0.16422,3.5726e-15,202.87,46.158,157.16,1380
