a,b,c,alpha,phi1,PHI,phi2,GrainID
0.15751,0.15751,0.15751,5.8307e-07,307.77,146.6,306.96,67
0.16068,0.13477,0.16068,60,168.17,99,90.676,68
0.32549,0.19422,0.32549,37.905,322.51,157.95,105.2,69
0.16068,0.13477,0.16068,60,134.75,33.935,73.177,70
0.15751,0.15751,0.15751,90.016,136.29,159.73,111.86,71
0.30744,0.14854,0.30744,113.84,30.453,105.44,121.9,72
0.15782,0.11486,0.15782,90,136.21,69.237,114.13,73
0.13768,0.10935,0.13768,60,30.853,105.12,121.67,74
0.15782,0.11486,0.15782,30,161.08,76.326,305.04,75
0.080789,0.080789,0.080789,90,20.949,109.48,155.76,76
0.16501,0.069365,0.16501,30,36.97,137.27,84.215,77
0.15782,0.11486,0.15782,90,190.19,60.503,205.76,78
0.14835,0.12472,0.14835,30,178.21,33.184,262.64,79
0.30061,0.16506,0.30061,118.44,293.51,126.27,180.67,80
0.15558,0.096246,0.15558,138.44,59.975,134.01,104.29,81
0.16501,0.069365,0.16501,90,124.42,26.39,13.156,82
1.3465,0.42772,1.3465,82.479,232.77,53.682,134.42,83
0.15558,0.096246,0.15558,101.56,305.38,104,164.39,84
0.30661,0.14944,0.30661,70.363,136.26,11.734,6.3477,85
0.30744,0.14854,0.30744,126.16,123.79,113.3,64.977,86
0.26036,0.17703,0.26036,127.99,135.25,71.525,293.56,87
0.14013,0.084933,0.14013,120,257.46,56.62,346.5,88
0.44773,0.18988,0.44773,24.34,52.035,109.81,109.01,89
0.26368,0.1604,0.26368,12.913,135.2,72.35,112.56,90
0.46945,0.21057,0.46945,40.566,28.332,102.32,119.51,91
0.14835,0.12472,0.14835,150,10.13,28.23,129.28,92
0.15751,0.15751,0.15751,90.178,135.13,36.343,72.064,93
0.15751,0.15751,0.15751,90,128.55,36.751,321.08,94
0.15751,0.15751,0.15751,180,316.8,55.954,108.44,95
0.16068,0.13477,0.16068,60,176.65,20.173,100.14,96
0.31997,0.17479,0.31997,60,84.288,116.55,249.31,97
0.15782,0.11486,0.15782,90,336.5,99.197,209.77,98
