a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
2.808397331,2.510914777,2.510914777,1.255231582,232.7076929,53.89656079,212.7324796,74.16706721,,
3.993990316,2.080421817,2.080421817,0.290057121,108.4255917,127.1734031,235.6548765,72.40997807,,
4.716693122,1.881700295,1.881700295,1.749644878,38.96439091,101.2834823,320.8608339,69.95634913,,
2.952186147,2.372285616,2.372285616,2.938295683,192.5865066,156.649059,245.5405569,69.59311862,,
4.719197686,1.821806331,1.821806331,1.918852611,26.31721868,101.2125144,345.6373704,65.6086639,,
3.984260859,1.942109394,1.942109394,1.489586117,357.2049448,76.80877644,348.3779503,62.94826322,,
2.641720816,2.37908241,2.37908241,0.515427153,9.307603753,103.0070748,101.0796894,62.63174324,,
3.570176348,2.040387898,2.040387898,1.865359145,131.0045025,173.7840452,309.5650821,62.2592315,,
5.211602372,1.666927606,1.666927606,2.704421958,223.0699422,59.28764212,79.98228731,60.6587366,,
4.868564991,1.719627589,1.719627589,2.51997129,266.3571644,53.76577403,337.0891719,60.3057037,,
3.391952756,2.058017657,2.058017657,0.442159633,70.07492529,103.3812421,75.59586407,60.17784022,,
4.452998657,1.788610977,1.788610977,0.53089176,54.98466853,67.00959327,4.614840271,59.67232468,,
4.011126945,1.883957326,1.883957326,1.16562325,123.1157987,8.420391675,153.0076947,59.63443906,,
4.014354789,1.820288509,1.820288509,0.654608942,319.5537115,30.88231341,127.2649204,55.716627,,
2.741755699,2.181461964,2.181461964,1.186046733,82.27575621,50.16603688,8.586617452,54.65282987,,
5.228071731,1.573192173,1.573192173,1.553674325,247.5378399,94.53304335,239.8509556,54.1993029,,
2.82981856,2.136933798,2.136933798,2.248360685,93.5402826,124.62783,304.864429,54.12891678,,
3.833212972,1.820180816,1.820180816,2.788846515,262.6536119,164.7050715,73.7854238,53.1962017,,
3.825877885,1.802948487,1.802948487,0.735511297,95.96002059,82.44100968,98.01421254,52.09383738,,
3.442613088,1.896006744,1.896006744,1.775805082,73.95174166,151.5809937,354.6512141,51.83899585,,
6.235771791,1.403230591,1.403230591,1.51159605,204.6842155,103.0192944,281.2653656,51.43241419,,
3.356954999,1.908417752,1.908417752,0.945114056,288.6359409,47.26563619,309.9122898,51.2130952,,
5.617069755,1.461094481,1.461094481,2.999404148,61.01066634,34.59061886,40.70254645,50.22905725,,
3.357033121,1.873471391,1.873471391,0.114333358,347.3842041,73.45277903,255.0575472,49.3558194,,
2.787292819,2.040007387,2.040007387,1.988100636,260.1804117,69.30265135,197.1059731,48.58863349,,
4.266941054,1.638312969,1.638312969,1.545707558,294.3689634,113.2815446,78.07416057,47.97323338,,
4.770638154,1.548177459,1.548177459,0.310361641,245.661474,70.3094015,217.8238111,47.89680744,,
3.644504865,1.759001266,1.759001266,0.700074246,350.9766959,115.9524356,331.7914582,47.23451359,,
4.093454235,1.659710983,1.659710983,2.673266667,204.7753993,89.15918748,177.2477058,47.23277746,,
3.232430743,1.857308376,1.857308376,1.640332815,75.1877623,108.6175373,86.89871331,46.70741934,,
