 ,Area,Aspect Ratio,Slope,Mean misorient. angle,Volumen,a_dia,c_dia,b_dia,a,c,b,,totalvol,boxsize
229,77.516,2.395,,,446.9667998,15.376,6.419,15.376,7.688,3.2095,7.688,,,
230,63.044,1.886,,,290.8892999,12.304,6.524,12.304,6.152,3.262,6.152,,,
231,24.856,1.696,,,68.28710864,7.326,4.32,7.326,3.663,2.16,3.663,,,
232,59.8,1.985,,,275.6818112,12.293,6.194,12.293,6.1465,3.097,6.1465,,,
233,39.684,1.502,,,129.6239257,8.711,5.8,8.711,4.3555,2.9,4.3555,,,
234,25.149,1.779,,,71.19847048,7.549,4.242,7.549,3.7745,2.121,3.7745,,,
235,37.829,1.935,,,136.9459654,9.654,4.989,9.654,4.827,2.4945,4.827,,,
236,47.169,3.546,,,258.1580549,14.593,4.116,14.593,7.2965,2.058,7.2965,,,
237,44.184,1.159,,,133.812671,8.076,6.966,8.076,4.038,3.483,4.038,,,
238,64.302,2.102,,,316.3540574,13.12,6.24,13.12,6.56,3.12,6.56,,,
239,16.15,2.226,,,40.97470505,6.766,3.039,6.766,3.383,1.5195,3.383,,,
240,103.483,3.032,,,775.632487,19.986,6.593,19.986,9.993,3.2965,9.993,,,
241,33.72,2.299,,,125.6439712,9.935,4.322,9.935,4.9675,2.161,4.9675,,,
242,97.698,1.273,,,461.0364282,12.584,9.885,12.584,6.292,4.9425,6.292,,,
243,37.111,2.671,,,156.3360938,11.234,4.206,11.234,5.617,2.103,5.617,,,
244,11.828,3.071,,,30.16090129,6.801,2.214,6.801,3.4005,1.107,3.4005,,,
245,94.408,1.188,,,423.098293,11.951,10.058,11.951,5.9755,5.029,5.9755,,,
246,23.72,2.966,,,84.19556001,9.465,3.191,9.465,4.7325,1.5955,4.7325,,,
247,119.059,1.749,,,726.9195196,16.282,9.31,16.282,8.141,4.655,8.141,,,
248,42.859,3.235,,,213.5179289,13.286,4.107,13.286,6.643,2.0535,6.643,,,
249,25.93,1.65,,,71.76783621,7.38,4.474,7.38,3.69,2.237,3.69,,,
250,67.361,1.97,,,328.3623445,12.999,6.598,12.999,6.4995,3.299,6.4995,,,
251,52.508,2.619,,,260.5682113,13.232,5.053,13.232,6.616,2.5265,6.616,,,
252,43.384,1.939,,,168.3833135,10.35,5.337,10.35,5.175,2.6685,5.175,,,
253,44.355,1.866,,,170.7185453,10.265,5.501,10.265,5.1325,2.7505,5.1325,,,
254,107.225,2.845,,,792.4931476,19.709,6.927,19.709,9.8545,3.4635,9.8545,,,
255,103.226,1.79,,,593.7296791,15.338,8.569,15.338,7.669,4.2845,7.669,,,
256,196.368,1.409,,,1382.058951,18.768,13.322,18.768,9.384,6.661,9.384,,,
257,123.253,1.374,,,678.559654,14.682,10.688,14.682,7.341,5.344,7.341,,,
258,22.881,1.283,,,52.46080166,6.114,4.765,6.114,3.057,2.3825,3.057,,,
259,39.996,3.573,,,202.2708128,13.488,3.775,13.488,6.744,1.8875,6.744,,,
260,127.075,1.63,,,773.8796589,16.239,9.964,16.239,8.1195,4.982,8.1195,,,
261,37.539,1.967,,,136.4783286,9.695,4.93,9.695,4.8475,2.465,4.8475,,,
262,9.215,2.692,,,19.4233562,5.62,2.088,5.62,2.81,1.044,2.81,,,
263,8.116,4.906,,,21.66449394,7.12,1.451,7.12,3.56,0.7255,3.56,,,
264,165.676,1.392,,,1064.590773,17.135,12.311,17.135,8.5675,6.1555,8.5675,,,
