 ,Area,Aspect Ratio,Slope,Mean misorient. angle,Volumen,a_dia,c_dia,b_dia,a,c,b,,Totalvol,boxsize 
143,41.354,1.83,,,270.6178821,9.816,5.364,9.816,4.908,2.682,4.908,,,
144,3.031,1.627,,,5.063857507,2.506,1.54,2.506,1.253,0.77,1.253,,,
145,11.809,1.524,,,37.68716019,4.787,3.141,4.787,2.3935,1.5705,2.3935,,,
146,95.062,1.261,,,783.0747095,12.356,9.796,12.356,6.178,4.898,6.178,,,
147,146.063,2.038,,,1895.746341,19.469,9.552,19.469,9.7345,4.776,9.7345,,,
148,158.752,1.587,,,1895.482679,17.909,11.287,17.909,8.9545,5.6435,8.9545,,,
149,69.809,2.075,,,632.0795966,13.581,6.545,13.581,6.7905,3.2725,6.7905,,,
150,37.883,2.326,,,267.5146638,10.592,4.554,10.592,5.296,2.277,5.296,,,
151,31.926,3.838,,,265.8340376,12.491,3.254,12.491,6.2455,1.627,6.2455,,,
152,18.932,2.764,,,103.0042751,8.162,2.953,8.162,4.081,1.4765,4.081,,,
153,93.369,2.134,,,991.3838896,15.926,7.465,15.926,7.963,3.7325,7.963,,,
154,75.346,1.406,,,583.2373107,11.612,8.261,11.612,5.806,4.1305,5.806,,,
155,12.793,2.256,,,51.71796468,6.063,2.687,6.063,3.0315,1.3435,3.0315,,,
156,17.134,2.965,,,91.85957778,8.043,2.712,8.043,4.0215,1.356,4.0215,,,
157,14.677,2.666,,,69.068482,7.058,2.648,7.058,3.529,1.324,3.529,,,
