,a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
154,4.521993582,2.498240286,2.498240286,1.487486025,180.3813524,6.819798275,22.6111744,118.2189141,,
155,1.895146285,1.168810394,1.168810394,2.105456879,292.7951407,70.09510903,28.00477191,10.84474832,,
156,1.170720725,0.547877711,0.547877711,3.061219221,152.4834545,139.3750929,309.2484119,1.472004646,,
158,2.140193229,1.488120819,1.488120819,1.499110831,222.9743648,60.00283412,79.48298347,19.85262687,,
160,6.492035862,4.085239166,4.085239166,1.526537743,221.4876737,56.26339442,80.34627393,453.8418004,,
161,2.264462839,0.918299653,0.918299653,2.673537963,135.806149,53.83874252,20.20785331,7.998759653,,
163,3.142294629,1.877065437,1.877065437,2.302351129,135.6525745,53.65802583,19.60504466,46.37611224,,
164,1.752463445,1.579007016,1.579007016,1.659337123,265.386502,96.43612668,339.6537456,18.30230111,,
165,5.238633241,3.28263652,3.28263652,1.845966991,135.0838357,54.25091211,19.94758242,236.4570119,,
166,4.042265923,1.51737315,1.51737315,2.195679879,1.302653435,161.5602504,254.5147517,38.9850665,,
167,4.024157177,2.410252002,2.410252002,2.324754483,101.2861733,23.08572803,12.65743948,97.923843,,
168,2.952186147,2.372285616,2.372285616,2.938295683,192.5865066,156.649059,245.5405569,69.59311862,,
169,2.31185189,1.394147298,1.394147298,1.406247576,4.532258874,21.71432867,46.30820392,18.82200739,,
170,4.868564991,1.719627589,1.719627589,2.51997129,266.3571644,53.76577403,337.0891719,60.3057037,,
171,5.211602372,1.666927606,1.666927606,2.704421958,223.0699422,59.28764212,79.98228731,60.6587366,,
172,2.82981856,2.136933798,2.136933798,2.248360685,93.5402826,124.62783,304.864429,54.12891678,,
173,3.181113194,1.499075116,1.499075116,1.780721284,167.135047,44.31651123,33.08099578,29.94432464,,
174,2.41298133,1.305290031,1.305290031,1.870621817,28.79283804,39.34342132,142.0478044,17.22093047,,
175,4.1822525,2.79249919,2.79249919,2.198431364,29.27739757,168.961599,276.6431379,136.6107798,,
176,3.305824625,0.902424971,0.902424971,2.077105954,29.66054238,38.3710767,141.2806472,11.27692335,,
177,10.17843849,5.217511337,5.217511337,2.217229519,193.1273262,155.5978911,245.913953,1160.63742,,
178,1.312495023,0.834417203,0.834417203,0.476451261,210.7285069,126.7064786,139.6341816,3.827831158,,
180,2.380112093,0.775763798,0.775763798,2.033847614,336.8595409,90.59707695,50.70641398,5.999914173,,
181,3.366620544,2.524890016,2.524890016,2.476696949,199.6121044,102.4246067,180.1350129,89.90165954,,
182,4.871096229,4.106445545,4.106445545,2.724231932,161.3212153,88.53414932,214.8716059,344.0705127,,
183,4.268865997,3.321715816,3.321715816,1.539403494,8.937928828,176.7648865,76.02186251,197.2995434,,
184,2.44059477,1.29333246,1.29333246,0.311086966,10.384352,19.05103845,41.13910816,17.10033589,,
185,1.434926442,0.595413828,0.595413828,1.499299645,293.3055878,103.063021,263.4124832,2.130865709,,
187,5.677011053,1.391181935,1.391181935,1.609266122,183.6695145,7.230164795,17.86079105,46.02313603,,
188,6.402009201,4.160422927,4.160422927,2.617747628,112.4694718,87.00376604,4.467802625,464.1729899,,
189,4.014354789,1.820288509,1.820288509,0.654608942,319.5537115,30.88231341,127.2649204,55.716627,,
192,4.756712037,2.029050557,2.029050557,0.858968274,190.7051561,111.0927723,173.0629923,82.03160457,,
193,1.486455228,0.980804678,0.980804678,0.74101648,358.7688442,100.3155784,331.3635329,5.989705913,,
194,1.316755837,1.161338025,1.161338025,2.116294493,180.0196297,72.65746768,301.6437867,7.438941678,,
196,3.898358773,1.565759699,1.565759699,1.451574895,169.5817575,70.04845822,310.8603567,40.03323039,,
199,7.00688378,2.660438551,2.660438551,1.5273774,268.5819605,47.07979197,70.12647944,207.7399334,,
200,3.028214095,1.509566266,1.509566266,0.740694541,228.3972423,62.46731257,16.18783794,28.90543772,,
201,4.042287176,2.474406646,2.474406646,0.609119629,65.92577372,116.4416649,99.91833038,103.671151,,
202,1.467231764,0.959511216,0.959511216,1.485305933,243.4952792,50.25121754,7.374990138,5.658319168,,
204,5.056344184,2.305189615,2.305189615,1.237944906,135.64099,13.7235882,4.188574366,112.5481982,,
205,1.550068757,0.960191394,0.960191394,0.524848897,312.4388475,56.60491665,90.25643159,5.986254687,,
206,2.033968853,1.533334773,1.533334773,0.420502884,126.8965579,96.40065642,263.0336186,20.03119585,,
207,1.421579499,1.177676608,1.177676608,0.518296869,117.8540069,165.4388871,10.79297559,8.258703192,,
208,0.8034341,0.668311916,0.668311916,1.124245936,122.4699809,164.3728468,15.25185314,1.503132549,,
209,4.616650906,2.463346415,2.463346415,1.966072026,131.5196803,20.90915948,14.41152829,117.3455501,,
210,1.528169326,0.676446611,0.676446611,0.516928025,286.6846542,63.07521713,194.7304883,2.929052379,,
211,3.589816473,2.777191525,2.777191525,1.80495146,89.0916625,3.060744546,177.7410192,115.9771729,,
212,1.25876071,1.072974536,1.072974536,1.508755062,74.32717286,121.8934023,114.3149287,6.070306479,,
213,2.210452252,0.955010592,0.955010592,2.015409708,160.8182197,119.0741559,110.6772906,8.444736909,,
214,1.577425232,1.146506437,1.146506437,2.602060828,108.1298483,130.2417192,86.19667478,8.685411261,,
