F11	F22	F33	F12	F23	F31	F21	F32	F13	time
1.19785988331	0.898470640182	0.905956864357	-0.00520586734638	-0.149603903294	0.00143308856059	0.00685969972983	0.147535726428	-0.000121448501886	0.00500000501052
1.20898985863	0.893137097359	0.901198267937	-0.0054416176863	-0.154325738549	0.00154287437908	0.00726708862931	0.152045860887	-0.00011158939742	0.00510000064969
1.22096943855	0.887486100197	0.896172881126	-0.00569095136598	-0.159051224589	0.00166749255732	0.00770902866498	0.156535938382	-0.000103441554529	0.0052000018768
1.23312485218	0.881832182407	0.891158223152	-0.00593735091388	-0.163585096598	0.00179518084042	0.00815928913653	0.16082239151	-9.34063718887e-05	0.00530000124127
1.24517548084	0.876290261745	0.886252760887	-0.0061794957146	-0.167925402522	0.00192350032739	0.00861311797053	0.164909988642	-8.09501725598e-05	0.00540000433102
1.25714111328	0.870847046375	0.881440937519	-0.00641265558079	-0.172109603882	0.00204723421484	0.0090637402609	0.168835371733	-6.36745899101e-05	0.00550000369549
1.26899766922	0.865523397923	0.876740396023	-0.00664250412956	-0.176081493497	0.00216229422949	0.0095199663192	0.172544792295	-3.82250691473e-05	0.0056000049226
1.28135025501	0.86005795002	0.87192183733	-0.00687740137801	-0.180009126663	0.00228694383986	0.00999867264181	0.176190257072	-1.29978543555e-05	0.00570000009611
1.29352664948	0.854740738869	0.867238998413	-0.00710388226435	-0.183731451631	0.0024093799293	0.010474328883	0.17962642014	1.43479719554e-05	0.00580000085756
1.30533719063	0.849643230438	0.862751662731	-0.00732109136879	-0.187237918377	0.0025169311557	0.0109435264021	0.182849988341	5.12407859787e-05	0.00590000441298
1.31662118435	0.844820976257	0.858506560326	-0.00752424588427	-0.190527901053	0.00261176121421	0.0113961994648	0.185864731669	9.35293355724e-05	0.00600000470877
1.32795512676	0.840031266212	0.85429340601	-0.00772617151961	-0.193737089634	0.00270779780112	0.0118569685146	0.188792467117	0.000137727285619	0.00610000407323
1.33883821964	0.835481286049	0.850291490555	-0.00791624654084	-0.196740940213	0.00278940820135	0.0123037490994	0.191522851586	0.000187995974557	0.0062000034377
1.34908270836	0.831238210201	0.846556425095	-0.00809305626899	-0.199522286654	0.00285490951501	0.0127306394279	0.194044947624	0.000243722475716	0.00630000187084
1.35854387283	0.827343046665	0.843122124672	-0.00825352501124	-0.202099323273	0.00290772179142	0.0131286773831	0.196381032467	0.000301564199617	0.00640000170097
1.36748468876	0.823684573174	0.839891374111	-0.00840305816382	-0.204532638192	0.00294974562712	0.0135079044849	0.19858533144	0.000361541722668	0.00650000479072
1.37628006935	0.82012796402	0.836748957634	-0.00854786112905	-0.206834957004	0.00298678944819	0.0138841075823	0.200662285089	0.000423417863203	0.0066000004299
1.38500750065	0.816640853882	0.833667576313	-0.00869138073176	-0.209027171135	0.00302181346342	0.0142633905634	0.202630966902	0.000486323115183	0.00670000258833
1.3933018446	0.81335157156	0.830758750439	-0.00882675405592	-0.211083471775	0.00305314175785	0.0146277034655	0.204474315047	0.000548007432371	0.00680000055581
